Record_ID,Date,Country,City,Temperature,Humidity,Precipitation,Air_Quality_Index,Extreme_Weather_Events,Climate_Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
aus_1017,2024-10-12,Australia,Melbourne,37.8,80,27.2,424,None,Koeppen-B,Arid,Wetland,41.8,5.8,E,Autumn,8049652,86486437,8
aus_1018,2024-10-13,Australia,Melbourne,21,98,5,430,Hurricane,Koeppen-B,Arid,Tundra,25.9,37.9,N,Autumn,8895830,82280767,2
aus_1019,2024-10-14,Australia,Melbourne,13.9,18,130.7,182,None,Koeppen-C,Arid,Wetland,14.8,24.4,W,Autumn,3695436,28661090,10
aus_102,2024-04-11,Australia,Sydney,19.5,22,155.6,216,None,Koeppen-B,Arid,Tundra,20.6,30.9,W,Spring,1056414,48827896,5
aus_1020,2024-10-15,Australia,Melbourne,33.3,61,65.6,494,None,Koeppen-C,Arid,Forest,36.3,30.1,N,Autumn,3160927,89780234,6
aus_1021,2024-10-16,Australia,Melbourne,9.4,79,115.5,192,None,Koeppen-A,Arid,Forest,13.4,6.7,NW,Autumn,5807783,38515492,3
aus_1022,2024-10-17,Australia,Melbourne,41.5,68,53.4,418,None,Koeppen-B,Arid,Tundra,44.9,20.9,NE,Autumn,1725604,90156431,5
aus_1023,2024-10-18,Australia,Melbourne,32.4,97,110.4,32,None,Koeppen-B,Arid,Forest,37.2,24,N,Autumn,8023153,44887587,8
aus_1024,2024-10-19,Australia,Melbourne,14.9,45,7.6,10,Heatwave,Koeppen-B,Arid,Wetland,17.1,24.7,S,Autumn,4337932,58969899,7
aus_1025,2024-10-20,Australia,Melbourne,21.5,76,130.7,358,Heatwave,Koeppen-A,Arid,Wetland,25.3,35.6,E,Autumn,8415212,61342195,3
aus_1026,2024-10-21,Australia,Melbourne,-8.9,66,65.5,458,None,Koeppen-A,Arid,Forest,-5.6,3,S,Autumn,5707565,42117430,2
aus_1027,2024-10-22,Australia,Melbourne,42.5,31,61.2,217,None,Koeppen-B,Arid,Wetland,44,26.3,SE,Autumn,9455893,11360693,3
aus_1028,2024-10-23,Australia,Melbourne,-3.3,13,105.9,369,None,Koeppen-D,Arid,Wetland,-2.6,18.1,S,Autumn,6616409,50836920,1
aus_1029,2024-10-24,Australia,Melbourne,39.9,66,126.8,384,None,Koeppen-C,Arid,Grassland,43.2,9.6,SE,Autumn,5696257,27413973,7
aus_103,2024-04-12,Australia,Sydney,31.6,40,95.9,131,None,Koeppen-A,Arid,Desert,33.6,2.8,SW,Spring,7261209,94091820,9
aus_1030,2024-10-25,Australia,Melbourne,21,59,94.6,262,None,Koeppen-D,Arid,Desert,23.9,1.1,SE,Autumn,8525262,93405130,5
aus_1031,2024-10-26,Australia,Melbourne,36.8,54,48.9,118,None,Koeppen-B,Arid,Wetland,39.5,32.2,NW,Autumn,7191713,78059886,1
aus_1032,2024-10-27,Australia,Melbourne,35.8,93,48.8,93,None,Koeppen-C,Arid,Grassland,40.4,22.2,SE,Autumn,2323137,2368438,2
aus_1033,2024-10-28,Australia,Melbourne,-8.7,59,188.9,480,None,Koeppen-C,Arid,Grassland,-5.7,8.6,SW,Autumn,3079385,46544649,4
aus_1034,2024-10-29,Australia,Melbourne,-2.5,98,51.8,10,None,Koeppen-A,Arid,Tundra,2.4,18.5,SW,Autumn,2122292,66386512,10
aus_1035,2024-10-30,Australia,Melbourne,34.6,78,136.6,192,None,Koeppen-A,Arid,Wetland,38.5,1.2,E,Autumn,5123776,17115882,6
aus_1036,2024-10-31,Australia,Melbourne,-1.4,47,80.3,233,None,Koeppen-A,Arid,Forest,1,9.2,SW,Autumn,6145808,50880616,7
aus_1037,2024-11-01,Australia,Melbourne,10.8,64,127,243,Hurricane,Koeppen-B,Arid,Grassland,14,13.1,S,Autumn,5050957,78779728,3
aus_1038,2024-11-02,Australia,Melbourne,22.1,11,150.6,264,None,Koeppen-D,Arid,Wetland,22.7,21.9,E,Autumn,3617438,36179403,9
aus_1039,2024-11-03,Australia,Melbourne,25.9,22,25.5,39,None,Koeppen-D,Arid,Forest,27,26.6,SW,Autumn,1236192,42321879,4
aus_104,2024-04-13,Australia,Sydney,39.9,95,145.3,272,Flood,Koeppen-A,Arid,Tundra,44.6,32.4,E,Spring,4399144,93438803,9
aus_1040,2024-11-04,Australia,Melbourne,29.3,14,69.6,22,Heatwave,Koeppen-C,Arid,Grassland,30,33.7,NE,Autumn,2521389,43562619,7
aus_1041,2024-11-05,Australia,Melbourne,-5.6,46,112.8,327,None,Koeppen-A,Arid,Tundra,-3.3,16.6,N,Autumn,2408436,64959782,4
aus_1042,2024-11-06,Australia,Melbourne,6.2,94,186.4,319,None,Koeppen-D,Arid,Forest,10.9,32.2,SW,Autumn,1510411,51881475,1
aus_1043,2024-11-07,Australia,Melbourne,25,13,166.9,161,None,Koeppen-A,Arid,Grassland,25.6,9.5,W,Autumn,4036750,16365256,5
aus_1044,2024-11-08,Australia,Melbourne,42.9,54,158.6,357,Drought,Koeppen-A,Arid,Wetland,45.6,1.6,NW,Autumn,6748340,67818385,1
aus_1045,2024-11-09,Australia,Melbourne,21.9,16,99.8,459,None,Koeppen-D,Arid,Desert,22.7,14.1,N,Autumn,7670373,17358686,1
aus_1046,2024-11-10,Australia,Melbourne,5,41,42.6,338,None,Koeppen-C,Arid,Wetland,7.1,3.8,N,Autumn,1087,54915040,4
aus_1047,2024-11-11,Australia,Melbourne,-8.1,94,122.3,74,None,Koeppen-B,Arid,Grassland,-3.4,7.8,N,Autumn,4245041,54337221,3
aus_1048,2024-11-12,Australia,Melbourne,39.1,63,1.8,155,None,Koeppen-B,Arid,Desert,42.2,36.7,SE,Autumn,7463877,24329695,9
aus_1049,2024-11-13,Australia,Melbourne,9.4,35,135.2,467,None,Koeppen-D,Arid,Forest,11.2,20.5,N,Autumn,9980312,76708673,7
aus_105,2024-04-14,Australia,Sydney,7.2,73,100.2,99,Heatwave,Koeppen-B,Arid,Forest,10.9,32.5,E,Spring,2650075,8987351,4
aus_1050,2024-11-14,Australia,Melbourne,36.3,90,28.9,166,None,Koeppen-A,Arid,Tundra,40.8,39.3,W,Autumn,8070820,81487337,6
aus_1051,2024-11-15,Australia,Melbourne,43.4,70,45,324,None,Koeppen-D,Arid,Desert,46.9,38.8,SW,Autumn,7799648,78461943,2
aus_1052,2024-11-16,Australia,Melbourne,8.6,24,3.8,395,None,Koeppen-D,Arid,Grassland,9.8,34.1,E,Autumn,8162049,12271218,2
aus_1053,2024-11-17,Australia,Melbourne,-4.8,28,161,86,None,Koeppen-B,Arid,Forest,-3.4,28.6,E,Autumn,275836,9689493,8
aus_1054,2024-11-18,Australia,Melbourne,-6.5,17,17.3,414,None,Koeppen-A,Arid,Wetland,-5.7,19.5,SE,Autumn,112688,93243821,3
aus_1055,2024-11-19,Australia,Melbourne,15.9,58,5,100,None,Koeppen-D,Arid,Grassland,18.8,33,NW,Autumn,6944718,79819656,6
aus_1056,2024-11-20,Australia,Melbourne,32.9,74,86.3,451,Flood,Koeppen-A,Arid,Tundra,36.6,0.1,SW,Autumn,4670176,76643145,8
aus_1057,2024-11-21,Australia,Melbourne,-4.8,59,62.9,229,None,Koeppen-C,Arid,Desert,-1.8,20.5,SW,Autumn,1282648,3139575,4
aus_1058,2024-11-22,Australia,Melbourne,22.4,70,13.7,95,None,Koeppen-B,Arid,Wetland,25.9,10.8,N,Autumn,8743449,79263180,8
aus_1059,2024-11-23,Australia,Melbourne,4.7,18,64,299,None,Koeppen-B,Arid,Wetland,5.6,37.2,NE,Autumn,4786286,41230605,1
aus_106,2024-04-15,Australia,Sydney,24.2,90,85.3,75,None,Koeppen-D,Arid,Grassland,28.7,33.3,S,Spring,4486261,94826160,3
aus_1060,2024-11-24,Australia,Melbourne,1.6,98,132.1,231,None,Koeppen-B,Arid,Forest,6.5,27.8,SE,Autumn,2277131,77188623,2
aus_1061,2024-11-25,Australia,Melbourne,12,67,87.8,124,None,Koeppen-C,Arid,Grassland,15.3,22.4,NE,Autumn,6608473,26170209,6
aus_1062,2024-11-26,Australia,Melbourne,26.2,11,10.9,395,None,Koeppen-D,Arid,Wetland,26.8,32.4,SE,Autumn,6718625,58578768,6
aus_1063,2024-11-27,Australia,Melbourne,23.3,81,144.2,362,None,Koeppen-D,Arid,Desert,27.4,17.7,SE,Autumn,7082848,1505947,5
aus_1064,2024-11-28,Australia,Melbourne,24.5,28,41.1,112,None,Koeppen-D,Arid,Grassland,25.9,16.5,W,Autumn,9720750,60117508,6
aus_1065,2024-11-29,Australia,Melbourne,-1,92,108.2,265,None,Koeppen-C,Arid,Wetland,3.6,10.6,NE,Autumn,4011518,88385351,8
aus_1066,2024-11-30,Australia,Melbourne,29.6,36,51.8,372,None,Koeppen-B,Arid,Grassland,31.4,1.4,SE,Autumn,4771719,59477183,6
aus_1067,2024-12-01,Australia,Melbourne,14.5,46,166.8,115,None,Koeppen-B,Arid,Grassland,16.8,0.3,N,Winter,9390301,26019194,6
aus_1068,2024-12-02,Australia,Melbourne,20.3,72,168.5,39,None,Koeppen-D,Arid,Wetland,23.9,7.8,E,Winter,5272153,58803554,10
aus_1069,2024-12-03,Australia,Melbourne,26.2,50,117.1,337,None,Koeppen-D,Arid,Wetland,28.7,25,S,Winter,6881159,80818988,1
aus_107,2024-04-16,Australia,Sydney,26,49,184.6,173,Drought,Koeppen-D,Arid,Wetland,28.4,15.9,S,Spring,3775101,66174820,7
aus_1070,2024-12-04,Australia,Melbourne,32.4,22,71.9,211,Drought,Koeppen-D,Arid,Desert,33.5,21.8,SE,Winter,8633239,90877454,8
aus_1071,2024-12-05,Australia,Melbourne,37.6,82,6.7,54,None,Koeppen-C,Arid,Forest,41.7,1.3,NW,Winter,1171412,53183241,3
aus_1072,2024-12-06,Australia,Melbourne,35.6,97,95.1,401,None,Koeppen-A,Arid,Desert,40.5,28.1,E,Winter,9119199,64614359,3
aus_1073,2024-12-07,Australia,Melbourne,33.9,23,78.2,380,None,Koeppen-D,Arid,Forest,35,24.2,SW,Winter,3799878,4015242,8
aus_1074,2024-12-08,Australia,Melbourne,41.5,23,193.8,458,None,Koeppen-C,Arid,Grassland,42.6,21.8,E,Winter,6635439,89922049,5
aus_1075,2024-12-09,Australia,Melbourne,38.5,91,152.3,332,None,Koeppen-B,Arid,Wetland,43,0.1,SW,Winter,5931852,49694319,8
aus_1076,2024-12-10,Australia,Melbourne,5.6,81,53.5,276,None,Koeppen-C,Arid,Wetland,9.6,38,SE,Winter,9372979,31126620,8
aus_1077,2024-12-11,Australia,Melbourne,13.2,35,73.4,411,None,Koeppen-B,Arid,Forest,14.9,4.7,SE,Winter,3404823,56777667,8
aus_1078,2024-12-12,Australia,Melbourne,1.7,65,158.4,374,Hurricane,Koeppen-D,Arid,Desert,5,32.3,NE,Winter,7160331,15793703,7
aus_1079,2024-12-13,Australia,Melbourne,29.3,85,69.8,48,None,Koeppen-B,Arid,Forest,33.5,28.3,E,Winter,9965399,23576648,3
aus_108,2024-04-17,Australia,Sydney,6,27,6.4,137,None,Koeppen-C,Arid,Grassland,7.3,31,NE,Spring,527312,13298250,7
aus_1080,2024-12-14,Australia,Melbourne,16.9,57,40.8,195,None,Koeppen-A,Arid,Wetland,19.8,28.6,NE,Winter,1596402,7041283,3
aus_1081,2024-12-15,Australia,Melbourne,36.4,21,77.7,345,None,Koeppen-C,Arid,Grassland,37.4,30.8,E,Winter,2295449,22808496,4
aus_1082,2024-12-16,Australia,Melbourne,-6.9,38,107.1,73,Heatwave,Koeppen-C,Arid,Tundra,-5,21.2,NW,Winter,662456,17031101,2
aus_1083,2024-12-17,Australia,Melbourne,36.1,43,18.2,157,None,Koeppen-C,Arid,Wetland,38.2,27.8,E,Winter,282687,6788799,2
aus_1084,2024-12-18,Australia,Melbourne,22.2,35,40.2,478,Heatwave,Koeppen-A,Arid,Tundra,23.9,7.1,SW,Winter,9011696,70569919,4
aus_1085,2024-12-19,Australia,Melbourne,44,35,155.9,25,None,Koeppen-B,Arid,Tundra,45.8,20.8,E,Winter,426166,48906329,7
aus_1086,2024-12-20,Australia,Melbourne,11.5,91,147.8,208,None,Koeppen-A,Arid,Tundra,16.1,11.4,N,Winter,6763966,12997372,1
aus_1087,2024-12-21,Australia,Melbourne,6.6,61,136.5,87,None,Koeppen-A,Arid,Tundra,9.7,28,NE,Winter,8175533,92893293,9
aus_1088,2024-12-22,Australia,Melbourne,22.9,51,79.2,163,None,Koeppen-B,Arid,Desert,25.4,21.7,E,Winter,767460,43323605,7
aus_1089,2024-12-23,Australia,Melbourne,28.3,53,11.1,119,None,Koeppen-C,Arid,Wetland,31,8.3,SW,Winter,3506729,36507058,2
aus_109,2024-04-18,Australia,Sydney,-6.2,43,196.7,325,None,Koeppen-D,Arid,Desert,-4.1,38.7,NE,Spring,638536,20569610,1
aus_1090,2024-12-24,Australia,Melbourne,29.6,74,189.5,496,None,Koeppen-B,Arid,Tundra,33.3,15.7,W,Winter,8924669,90153870,6
aus_1091,2024-12-25,Australia,Melbourne,5.5,46,111.8,235,None,Koeppen-B,Arid,Grassland,7.8,15.8,SE,Winter,2550222,77810817,4
aus_1092,2024-12-26,Australia,Melbourne,25.1,30,52.3,273,None,Koeppen-C,Arid,Forest,26.6,25,SE,Winter,4415833,39104841,8
aus_1093,2024-12-27,Australia,Melbourne,7.3,40,198.9,296,None,Koeppen-C,Arid,Wetland,9.3,35.2,SE,Winter,9255860,84054596,4
aus_1094,2024-12-28,Australia,Melbourne,26,65,103.2,446,None,Koeppen-A,Arid,Forest,29.2,20,W,Winter,495605,71449469,7
aus_1095,2024-12-29,Australia,Melbourne,29.4,77,86,323,Hurricane,Koeppen-B,Arid,Tundra,33.2,30.8,E,Winter,3422525,20440695,4
aus_1096,2024-12-30,Australia,Melbourne,1.1,31,38,391,None,Koeppen-A,Arid,Forest,2.7,35.2,W,Winter,9362824,96158686,6
aus_1097,2024-12-31,Australia,Melbourne,19.7,32,192.9,281,Drought,Koeppen-B,Arid,Grassland,21.3,6.1,NE,Winter,4267857,20137290,9
aus_1098,2025-01-01,Australia,Melbourne,36,75,50,206,None,Koeppen-B,Arid,Desert,39.8,26.7,E,Winter,9759832,42688147,5
aus_1099,2025-01-02,Australia,Melbourne,-5.4,55,141.1,208,None,Koeppen-B,Arid,Tundra,-2.7,35.7,N,Winter,1123795,73368782,9
aus_11,2024-01-11,Australia,Sydney,7.8,54,130.3,176,Drought,Koeppen-D,Arid,Wetland,10.5,18.4,SW,Winter,5169657,42652449,6
aus_110,2024-04-19,Australia,Sydney,16.2,15,39,193,Flood,Koeppen-C,Arid,Grassland,16.9,5,NE,Spring,2392599,53044801,3
aus_1100,2025-01-03,Australia,Melbourne,32.8,59,50.7,279,None,Koeppen-B,Arid,Grassland,35.8,24.3,NW,Winter,8441795,38826119,3
aus_1101,2025-01-04,Australia,Melbourne,15,68,78.2,322,None,Koeppen-D,Arid,Forest,18.4,9.5,E,Winter,495626,89839916,5
aus_1102,2025-01-05,Australia,Melbourne,24.3,48,113.7,347,None,Koeppen-D,Arid,Tundra,26.7,29.4,SE,Winter,7375703,4526205,3
aus_1103,2025-01-06,Australia,Melbourne,17.5,85,60.3,23,Flood,Koeppen-B,Arid,Wetland,21.8,25.7,NW,Winter,5037070,67551524,2
aus_1104,2025-01-07,Australia,Melbourne,40.6,98,170,392,None,Koeppen-B,Arid,Wetland,45.5,20.6,E,Winter,5381566,60592247,4
aus_1105,2025-01-08,Australia,Melbourne,-0.7,80,126.8,450,Flood,Koeppen-B,Arid,Wetland,3.3,25.6,E,Winter,7534848,64935993,4
aus_1106,2025-01-09,Australia,Melbourne,34.1,45,124.2,309,None,Koeppen-D,Arid,Wetland,36.4,21.8,SE,Winter,9166542,94102331,5
aus_1107,2025-01-10,Australia,Melbourne,13.6,89,112.7,458,None,Koeppen-B,Arid,Tundra,18.1,13.3,W,Winter,1978008,28123306,1
aus_1108,2025-01-11,Australia,Melbourne,35.2,15,173.3,198,None,Koeppen-D,Arid,Tundra,36,5.6,N,Winter,4598627,67156938,10
aus_1109,2025-01-12,Australia,Melbourne,10.7,86,164.5,356,None,Koeppen-A,Arid,Desert,15,21.6,E,Winter,8589161,91786504,6
aus_111,2024-04-20,Australia,Sydney,25.1,62,185.3,238,Flood,Koeppen-A,Arid,Forest,28.2,1.8,W,Spring,8268732,81545240,9
aus_1110,2025-01-13,Australia,Melbourne,28.5,98,63.7,223,None,Koeppen-C,Arid,Wetland,33.4,26,SE,Winter,6687790,92028179,2
aus_1111,2025-01-14,Australia,Melbourne,22.3,61,167.7,211,None,Koeppen-B,Arid,Tundra,25.4,22.5,S,Winter,7358455,92289084,2
aus_1112,2025-01-15,Australia,Melbourne,37.8,12,153.6,186,None,Koeppen-D,Arid,Tundra,38.4,39,SE,Winter,9692194,6652265,2
aus_1113,2025-01-16,Australia,Melbourne,-9.2,36,15.2,46,None,Koeppen-D,Arid,Wetland,-7.4,24.3,W,Winter,2260128,81547267,4
aus_1114,2025-01-17,Australia,Melbourne,44,65,187.7,211,None,Koeppen-C,Arid,Tundra,47.2,23.8,NE,Winter,6030815,64120022,7
aus_1115,2025-01-18,Australia,Melbourne,14,17,52.8,369,Hurricane,Koeppen-C,Arid,Grassland,14.8,0.2,W,Winter,7736835,79557237,10
aus_1116,2025-01-19,Australia,Melbourne,11.6,46,129.5,52,None,Koeppen-B,Arid,Wetland,13.9,2.1,SE,Winter,3694933,22932263,5
aus_1117,2025-01-20,Australia,Melbourne,1.7,71,139.7,75,Flood,Koeppen-C,Arid,Wetland,5.2,39.1,NE,Winter,168459,46295380,2
aus_1118,2025-01-21,Australia,Melbourne,-2.1,83,86.6,288,None,Koeppen-C,Arid,Wetland,2.1,13.2,NE,Winter,5697852,375530,1
aus_1119,2025-01-22,Australia,Melbourne,41.7,39,36.3,54,None,Koeppen-A,Arid,Wetland,43.7,34.6,SE,Winter,8089154,13016751,6
aus_112,2024-04-21,Australia,Sydney,30.4,79,116.8,301,None,Koeppen-A,Arid,Grassland,34.4,33.6,SW,Spring,3301832,46323805,4
aus_1120,2025-01-23,Australia,Melbourne,42.5,78,66.1,63,None,Koeppen-D,Arid,Tundra,46.4,30.2,W,Winter,5613554,64235151,4
aus_1121,2025-01-24,Australia,Melbourne,28.5,51,23.7,28,None,Koeppen-D,Arid,Wetland,31.1,39.9,SE,Winter,2076449,67308127,5
aus_1122,2025-01-25,Australia,Melbourne,38.9,10,142.5,95,Drought,Koeppen-D,Arid,Forest,39.4,31.7,SE,Winter,3791407,49386387,2
aus_1123,2025-01-26,Australia,Melbourne,9.8,40,136.1,216,None,Koeppen-D,Arid,Wetland,11.8,0.3,W,Winter,4919567,92276698,3
aus_1124,2025-01-27,Australia,Melbourne,17,23,76.1,222,None,Koeppen-B,Arid,Grassland,18.1,20.3,NW,Winter,7565305,6838259,3
aus_1125,2025-01-28,Australia,Melbourne,14.6,38,30.2,195,None,Koeppen-D,Arid,Grassland,16.5,14.3,NE,Winter,9266879,51015569,7
aus_1126,2025-01-29,Australia,Melbourne,32,87,20,39,None,Koeppen-D,Arid,Wetland,36.4,37.9,SW,Winter,3088249,60221420,8
aus_1127,2025-01-30,Australia,Melbourne,37.8,33,161.1,400,None,Koeppen-A,Arid,Grassland,39.4,5.1,N,Winter,2251337,67906586,4
aus_1128,2025-01-31,Australia,Melbourne,17.3,81,171,484,None,Koeppen-A,Arid,Forest,21.4,16.7,W,Winter,801648,14567598,7
aus_1129,2025-02-01,Australia,Melbourne,26.8,23,16.3,304,None,Koeppen-B,Arid,Grassland,27.9,21.4,S,Winter,7548069,87098103,10
aus_113,2024-04-22,Australia,Sydney,22.2,99,62.1,147,None,Koeppen-A,Arid,Forest,27.1,13.7,N,Spring,2075676,30423963,8
aus_1130,2025-02-02,Australia,Melbourne,27.1,16,8.6,488,None,Koeppen-B,Arid,Forest,27.9,21.1,SW,Winter,3433895,97883607,4
aus_1131,2025-02-03,Australia,Melbourne,13.7,93,139.8,419,None,Koeppen-A,Arid,Wetland,18.4,2.3,W,Winter,5604455,34361682,9
aus_1132,2025-02-04,Australia,Melbourne,20.1,57,27.2,309,None,Koeppen-C,Arid,Forest,23,33.9,W,Winter,5167941,125544,8
aus_1133,2025-02-05,Australia,Melbourne,37.4,37,77.2,269,None,Koeppen-C,Arid,Desert,39.2,15.5,W,Winter,1356694,89815874,4
aus_1134,2025-02-06,Australia,Melbourne,2,38,178,19,None,Koeppen-B,Arid,Grassland,3.9,30.3,E,Winter,8620547,5628598,7
aus_1135,2025-02-07,Australia,Melbourne,22.1,47,20.3,206,None,Koeppen-B,Arid,Wetland,24.5,22.6,SE,Winter,7836026,4423771,2
aus_1136,2025-02-08,Australia,Melbourne,30.7,71,152.5,342,Heatwave,Koeppen-A,Arid,Forest,34.2,38.8,NW,Winter,2631965,2244552,4
aus_1137,2025-02-09,Australia,Melbourne,41.9,93,95.9,257,Drought,Koeppen-A,Arid,Grassland,46.5,13.1,NE,Winter,2799531,90257690,6
aus_1138,2025-02-10,Australia,Melbourne,26.7,68,182.6,97,None,Koeppen-D,Arid,Tundra,30.1,8.8,W,Winter,5558323,78383249,10
aus_1139,2025-02-11,Australia,Melbourne,17.4,42,145.8,94,None,Koeppen-A,Arid,Wetland,19.5,31.5,N,Winter,3340135,29097199,7
aus_114,2024-04-23,Australia,Sydney,31.2,42,140.4,405,None,Koeppen-C,Arid,Grassland,33.3,35.8,SE,Spring,393367,1117368,2
aus_1140,2025-02-12,Australia,Melbourne,24.4,26,50,55,Hurricane,Koeppen-B,Arid,Grassland,25.7,16.4,N,Winter,1882000,59655090,9
aus_1141,2025-02-13,Australia,Melbourne,8.2,59,115.2,499,None,Koeppen-D,Arid,Wetland,11.1,4.6,W,Winter,9973538,6304343,10
aus_1142,2025-02-14,Australia,Melbourne,0.9,91,153.7,277,None,Koeppen-D,Arid,Forest,5.5,2.3,NE,Winter,1911021,63871921,1
aus_1143,2025-02-15,Australia,Melbourne,6.1,80,143.3,369,None,Koeppen-D,Arid,Tundra,10.1,32.8,E,Winter,3636147,32266377,6
aus_1144,2025-02-16,Australia,Melbourne,-2.9,27,75.8,187,None,Koeppen-A,Arid,Desert,-1.5,4.1,W,Winter,2270498,46611004,10
aus_1145,2025-02-17,Australia,Melbourne,8.7,55,40.1,419,None,Koeppen-A,Arid,Grassland,11.4,18.5,SW,Winter,2895923,33367713,10
aus_1146,2025-02-18,Australia,Melbourne,44.8,74,103.4,316,None,Koeppen-A,Arid,Grassland,48.5,17,S,Winter,8465617,36713950,10
aus_1147,2025-02-19,Australia,Melbourne,9.8,94,82.3,266,Flood,Koeppen-C,Arid,Desert,14.5,17.7,E,Winter,1069485,93464995,7
aus_1148,2025-02-20,Australia,Melbourne,2.4,33,170.5,325,None,Koeppen-D,Arid,Wetland,4,17.7,NE,Winter,1939204,40185425,8
aus_1149,2025-02-21,Australia,Melbourne,28.7,22,29.3,95,None,Koeppen-D,Arid,Desert,29.8,7.4,SE,Winter,3129853,91235978,5
aus_115,2024-04-24,Australia,Sydney,-2,44,13.1,191,None,Koeppen-A,Arid,Grassland,0.2,34.7,NW,Spring,6101655,22211688,1
aus_1150,2025-02-22,Australia,Melbourne,25.9,82,118.8,245,None,Koeppen-D,Arid,Wetland,30,38.3,N,Winter,2081073,80826210,8
aus_1151,2025-02-23,Australia,Melbourne,11.8,99,119.9,168,None,Koeppen-D,Arid,Tundra,16.8,39.3,SE,Winter,8951331,22826590,2
aus_1152,2025-02-24,Australia,Melbourne,-3.4,40,127,76,None,Koeppen-D,Arid,Wetland,-1.4,16.5,NE,Winter,6410860,69064168,2
aus_1153,2025-02-25,Australia,Melbourne,-3.5,28,124.6,325,Heatwave,Koeppen-C,Arid,Wetland,-2.1,15.4,SW,Winter,2272749,59989758,2
aus_1154,2025-02-26,Australia,Melbourne,20.6,52,5.4,101,None,Koeppen-C,Arid,Grassland,23.2,21.6,NW,Winter,8491400,50722172,1
aus_1155,2025-02-27,Australia,Melbourne,20.7,21,178.8,123,None,Koeppen-D,Arid,Wetland,21.8,24.2,SW,Winter,3126555,43133343,10
